city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
El Dorado Hills,El Dorado Hills,CA,California,6017,El Dorado,6017,El Dorado,38.675,-121.049,45104,359,polygon,FALSE,FALSE,America/Los_Angeles,3,95672 95762 95682,1840112094
Lemon Cove,Lemon Cove,CA,California,6107,Tulare,6107,Tulare,36.379,-119.0312,232,107,polygon,FALSE,TRUE,America/Los_Angeles,3,93244,1840112606
Dillon Beach,Dillon Beach,CA,California,6041,Marin,6041,Marin,38.2436,-122.956,156,20,polygon,FALSE,FALSE,America/Los_Angeles,3,94929 94971,1840112676
Patterson Tract,Patterson Tract,CA,California,6107,Tulare,6107,Tulare,36.3795,-119.2956,2320,619,polygon,FALSE,TRUE,America/Los_Angeles,3,93291,1840116495
Redcrest,Redcrest,CA,California,6023,Humboldt,6023,Humboldt,40.3987,-123.9474,36,23,polygon,FALSE,FALSE,America/Los_Angeles,3,95569,1840117585
Madera,Madera,CA,California,6039,Madera,6039,Madera,36.964,-120.0803,83636,1602,polygon,FALSE,TRUE,America/Los_Angeles,3,93637 93638 93639,1840011420
Brooktrails,Brooktrails,CA,California,6045,Mendocino,6045,Mendocino,39.4429,-123.3963,3705,196,polygon,FALSE,FALSE,America/Los_Angeles,3,95490,1840117524
Geyserville,Geyserville,CA,California,6097,Sonoma,6097,Sonoma,38.7173,-122.9034,929,79,polygon,FALSE,FALSE,America/Los_Angeles,3,95441,1840114544
Delhi,Delhi,CA,California,6047,Merced,6047,Merced,37.4306,-120.7759,11622,1278,polygon,FALSE,FALSE,America/Los_Angeles,3,95315,1840112659
Stanton,Stanton,CA,California,6059,Orange,6059,Orange,33.8002,-117.9935,38528,4802,polygon,FALSE,TRUE,America/Los_Angeles,2,90680,1840107817
Cobb,Cobb,CA,California,6033,Lake,6033,Lake,38.8356,-122.723,984,76,polygon,FALSE,FALSE,America/Los_Angeles,3,95426,1840111707
Amador City,Amador City,CA,California,6005,Amador,6005,Amador,38.419,-120.8232,190,236,polygon,FALSE,TRUE,America/Los_Angeles,3,95601 95685,1840106224
Vallejo,Vallejo,CA,California,6095,Solano,6095,Solano,38.1133,-122.2359,173844,1536,polygon,FALSE,TRUE,America/Los_Angeles,2,94592 94590 94591 94589,1840107867
Scotts Valley,Scotts Valley,CA,California,6087,Santa Cruz,6087,Santa Cruz,37.0555,-122.0118,11945,998,polygon,FALSE,TRUE,America/Los_Angeles,3,95066,1840011455
Fish Camp,Fish Camp,CA,California,6043,Mariposa,6043,Mariposa,37.4797,-119.6374,83,35,polygon,FALSE,FALSE,America/Los_Angeles,3,93623,1840114533
Alpine,Alpine,CA,California,6073,San Diego,6073,San Diego,32.8439,-116.7585,14795,213,polygon,FALSE,FALSE,America/Los_Angeles,3,91901 91903,1840111784
Rowland Heights,Rowland Heights,CA,California,6037,Los Angeles,6037,Los Angeles,33.9716,-117.8911,50572,1493,polygon,FALSE,FALSE,America/Los_Angeles,3,91748 91789,1840113178
Alta,Alta,CA,California,6061,Placer,6061,Placer,39.2138,-120.8033,476,77,polygon,FALSE,FALSE,America/Los_Angeles,3,95701,1840117516
North San Juan,North San Juan,CA,California,6057,Nevada,6057,Nevada,39.3718,-121.106,297,47,polygon,FALSE,FALSE,America/Los_Angeles,3,95960,1840117572
Mountain Mesa,Mountain Mesa,CA,California,6029,Kern,6029,Kern,35.6411,-118.4047,808,359,polygon,FALSE,FALSE,America/Los_Angeles,3,93240,1840112869
Shafter,Shafter,CA,California,6029,Kern,6029,Kern,35.4794,-119.2013,20889,195,polygon,FALSE,TRUE,America/Los_Angeles,3,93263 93314,1840107786
Bombay Beach,Bombay Beach,CA,California,6025,Imperial,6025,Imperial,33.3548,-115.7306,341,139,polygon,FALSE,FALSE,America/Los_Angeles,3,92257,1840111925
Fairfax,Fairfax,CA,California,6041,Marin,6041,Marin,37.9884,-122.595,7598,1331,polygon,FALSE,TRUE,America/Los_Angeles,3,94930,1840011397
Round Mountain,Round Mountain,CA,California,6089,Shasta,6089,Shasta,40.8005,-121.9375,98,22,polygon,FALSE,FALSE,America/Los_Angeles,3,96084,1840113174
Avocado Heights,Avocado Heights,CA,California,6037,Los Angeles,6037,Los Angeles,34.0381,-118.0026,16213,2313,polygon,FALSE,FALSE,America/Los_Angeles,2,91746 90601,1840111837
Dunnigan,Dunnigan,CA,California,6113,Yolo,6113,Yolo,38.8926,-121.9741,1299,95,polygon,FALSE,FALSE,America/Los_Angeles,3,95937,1840114523
Strathmore,Strathmore,CA,California,6107,Tulare,6107,Tulare,36.1438,-119.0612,3617,993,polygon,FALSE,FALSE,America/Los_Angeles,3,93267,1840113506
Inglewood,Inglewood,CA,California,6037,Los Angeles,6037,Los Angeles,33.9566,-118.3444,110598,4709,polygon,FALSE,TRUE,America/Los_Angeles,2,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312,1840107504
Randsburg,Randsburg,CA,California,6029,Kern,6029,Kern,35.368,-117.6607,143,28,polygon,FALSE,FALSE,America/Los_Angeles,3,93554,1840113110
Granite Hills,Granite Hills,CA,California,6073,San Diego,6073,San Diego,32.8033,-116.9056,2873,397,polygon,FALSE,FALSE,America/Los_Angeles,3,92021 92019,1840112349
Burlingame,Burlingame,CA,California,6081,San Mateo,6081,San Mateo,37.586,-122.3669,30686,2689,polygon,FALSE,TRUE,America/Los_Angeles,2,94010 94011,1840107017
Keddie,Keddie,CA,California,6063,Plumas,6063,Plumas,40.0059,-120.9525,42,24,polygon,FALSE,FALSE,America/Los_Angeles,3,95971,1840112484
Lodi,Lodi,CA,California,6077,San Joaquin,6077,San Joaquin,38.1218,-121.2933,72890,1860,polygon,FALSE,TRUE,America/Los_Angeles,3,95240 95242,1840011464
Saticoy,Saticoy,CA,California,6111,Ventura,6111,Ventura,34.2819,-119.1452,1005,1034,polygon,FALSE,FALSE,America/Los_Angeles,3,93004,1840116505
Avery,Avery,CA,California,6009,Calaveras,6009,Calaveras,38.1939,-120.379,575,49,polygon,FALSE,FALSE,America/Los_Angeles,3,95233 95224,1840111836
Spreckels,Spreckels,CA,California,6053,Monterey,6053,Monterey,36.6247,-121.6465,562,1776,polygon,FALSE,FALSE,America/Los_Angeles,3,93962,1840112781
South Whittier,South Whittier,CA,California,6037,Los Angeles,6037,Los Angeles,33.9336,-118.0311,60000,4340,polygon,FALSE,FALSE,America/Los_Angeles,2,90604 90605,1840112774
Boron,Boron,CA,California,6029,Kern,6029,Kern,35.0164,-117.6659,2406,67,polygon,FALSE,FALSE,America/Los_Angeles,3,93516 93596,1840111933
Cherry Valley,Cherry Valley,CA,California,6065,Riverside,6065,Riverside,33.9797,-116.9694,7924,381,polygon,FALSE,FALSE,America/Los_Angeles,3,92223,1840112061
Milpitas,Milpitas,CA,California,6085,Santa Clara,6085,Santa Clara,37.434,-121.8921,78106,2208,polygon,FALSE,TRUE,America/Los_Angeles,2,95035,1840107045
El Sobrante,El Sobrante,CA,California,6065,Riverside,6065,Riverside,33.8724,-117.4624,14451,772,polygon,FALSE,TRUE,America/Los_Angeles,3,92503,1840114529
Exeter,Exeter,CA,California,6107,Tulare,6107,Tulare,36.294,-119.1459,10553,1654,polygon,FALSE,TRUE,America/Los_Angeles,3,93221,1840105704
Whitewater,Whitewater,CA,California,6065,Riverside,6065,Riverside,33.9356,-116.6873,989,38,polygon,FALSE,TRUE,America/Los_Angeles,3,92282,1840114701
Inyokern,Inyokern,CA,California,6029,Kern,6029,Kern,35.6546,-117.8213,731,25,polygon,FALSE,FALSE,America/Los_Angeles,3,93527,1840112450
Rackerby,Rackerby,CA,California,6007,Butte,6007,Butte,39.4261,-121.3542,176,23,polygon,FALSE,TRUE,America/Los_Angeles,3,95966 95914,1840117282
Pajaro Dunes,Pajaro Dunes,CA,California,6087,Santa Cruz,6087,Santa Cruz,36.8722,-121.8101,319,48,polygon,FALSE,TRUE,America/Los_Angeles,3,95076,1840114623
Adin,Adin,CA,California,6049,Modoc,6049,Modoc,41.1964,-120.9494,206,23,polygon,FALSE,FALSE,America/Los_Angeles,3,96006,1840114448
Lake Nacimiento,Lake Nacimiento,CA,California,6079,San Luis Obispo,6079,San Luis Obispo,35.7309,-120.8702,2806,104,polygon,FALSE,FALSE,America/Los_Angeles,3,93446,1840112558
Live Oak,Live Oak,CA,California,6101,Sutter,6101,Sutter,39.2788,-121.6624,8935,1085,polygon,FALSE,TRUE,America/Los_Angeles,3,95953,1840011415
Fort Jones,Fort Jones,CA,California,6093,Siskiyou,6093,Siskiyou,41.6086,-122.8409,692,443,polygon,FALSE,TRUE,America/Los_Angeles,3,96032,1840011401
Rancho Cordova,Rancho Cordova,CA,California,6067,Sacramento,6067,Sacramento,38.574,-121.2523,73563,811,polygon,FALSE,TRUE,America/Los_Angeles,3,95742 95670 95827 95741,1840106913
Black Point-Green Point,Black Point-Green Point,CA,California,6041,Marin,6041,Marin,38.112,-122.519,1544,210,polygon,FALSE,TRUE,America/Los_Angeles,3,94945,1840111906
