Asyūţ,10.0
Ţanţā,0.01883231668590936
Al Fayyūm,1.64170315392941e-07
Suez,6.298177225453336e-08
Az Zaqāzīq,1.3109970575801397e-08
Ismailia,2.2503197203786586e-09
Port Said,6.153184004164235e-11
Aswān,3.206475087262123e-11
Kafr ad Dawwār,1.4260652141727487e-11
Al Maḩallah al Kubrá,3.3177943045731777e-12
Damanhūr,8.800404831485301e-13
Al Minyā,2.85794690815396e-13
Damietta,6.229340196219368e-15
Luxor,3.6336054953365244e-15
Qinā,3.2058082090139486e-15
Sūhāj,1.3570704352849816e-15
Banī Suwayf,1.2243485328885303e-15
Shibīn al Kawm,3.8448919302441097e-16
Al ‘Arīsh,2.398454845070732e-16
Ḩalwān,2.0277546243409752e-16
Al Ghardaqah,3.61246717303726e-17
Banhā,2.6011824684618008e-17
Kafr ash Shaykh,9.261197627321089e-18
Disūq,6.272684217279873e-18
Bilbays,5.111211354317517e-18
Mallawī,4.4870420557587476e-18
Idfū,2.502963564727788e-18
Mīt Ghamr,7.778438948339114e-19
Munūf,5.541814580224452e-19
Jirjā,1.560418854036582e-19
Akhmīm,1.4236231244128944e-19
Ziftá,7.463310528948716e-20
Samālūţ,6.201291166296968e-20
Manfalūţ,3.0359946895298006e-20
Banī Mazār,2.390557992781922e-20
Armant,1.8772636291913852e-20
Maghāghah,1.7642728665021087e-20
Kawm Umbū,1.2904701932342158e-20
Būr Fu’ād,1.1793373449909995e-20
Al Qūşīyah,1.0904879708951988e-20
Rosetta,1.0545696755230247e-20
Isnā,1.0315447917764796e-20
Maţrūḩ,1.0070571043430694e-20
Abnūb,9.469808486615253e-21
Hihyā,8.89887948623783e-21
Samannūd,4.386119431921447e-21
Dandarah,3.262532956760691e-21
Al Khārjah,2.606813599044743e-21
Al Balyanā,2.1057061191923165e-21
Maţāy,2.09170479009807e-21
Naj‘ Ḩammādī,1.833092776397096e-21
Şān al Ḩajar al Qiblīyah,1.605829974236168e-21
Dayr Mawās,1.3467295891220487e-21
Ihnāsyā al Madīnah,1.288161869179184e-21
Darāw,1.152789840871538e-21
Abū Qīr,1.1211099976242187e-21
Fāraskūr,1.0358172526571729e-21
Ra’s Ghārib,7.596818795806103e-22
Al Ḩusaynīyah,6.865371673865401e-22
Safājā,5.77567764205812e-22
Qiman al ‘Arūs,5.769862839179832e-22
Qahā,5.200016430101911e-22
Al Karnak,5.128918138891112e-22
Hirrīyat Raznah,4.450849117245466e-22
Al Quşayr,4.446418382505338e-22
Kafr Shukr,4.1738761692729077e-22
Sīwah,4.089114867834644e-22
Kafr Sa‘d,3.935319763013798e-22
Shārūnah,3.8635015045372663e-22
Qifţ,3.823438024629943e-22
Fāyīd,3.7596912977234926e-22
Naqādah,3.691456913036337e-22
Mīt Namā,3.641010461336371e-22
Sunbāţ,3.4722079271496677e-22
Banī Murr,3.3526276229832363e-22
Dayr Abū Ḩinnis,3.2601047510675817e-22
Banī Ḩasan ash Shurūq,2.971126419943824e-22
Biyahmū,2.8327326697713e-22
Al Ḩībah,2.607177526015881e-22
Al Madāmūd,2.425104756456916e-22
Sakhā,2.3696498242654004e-22
Dayr al Barshā,2.3038958139277213e-22
Aḑ Ḑab‘ah,2.2913004289201723e-22
Birqāsh,2.2853980358219277e-22
Qantīr,2.2112341941373517e-22
Sidmant al Jabal,2.135595093557136e-22
Aţ Ţūr,2.0832821866186743e-22
Burj al ‘Arab,2.0688863754732833e-22
Dishāshah,1.9678265653180033e-22
Mīt Damsīs,1.9284143758571235e-22
Sawādah,1.8140070156308977e-22
Abjīj,1.755507759377217e-22
Qufādah,1.743357577342671e-22
Shanhūr,1.6744057321781706e-22
Mandīshah,1.6429861913104148e-22
Dayr as Sanqūrīyah,1.632062863802238e-22
As Sallūm,1.5844915669447016e-22
Ţihnā al Jabal,1.4817854401025555e-22
Dayr al Jarnūs,1.4013977775087282e-22
Qaşr al Farāfirah,1.274794488117432e-22
Al Qaşr,1.2333882978401527e-22
Al ‘Alamayn,1.08421395551102e-22
Barnīs,9.337877355911158e-23
Al Manşūrah,2.4095435270508718e-26
Shubrā al Khaymah,2.0090139499126603e-27
Madīnat as Sādis min Uktūbar,2.730331734094385e-32
Alexandria,4.2251087942834975e-39
Giza,1.768202752479358e-39
Cairo,2.965220419753302e-41
