Laouamra,10.0
Zagora,8.768694035897244
Zoumi,8.390038741315832
Temsia,5.789680079675758
Azemmour,3.7553689058731137
Ait Ourir,0.47524333612837233
Sidi Bibi,0.39130988300521496
El Aïoun,0.24502335961611096
Tineghir,0.13274546164514187
Aziylal,0.08646863041596288
Sidi Mohamed Lahmar,0.024904135953529995
Mrirt,0.01925814999245369
Sidi Yahia El Gharb,0.018999832401286786
Biougra,0.016740363259291194
Chefchaouene,0.016507328970700886
Taounate,0.00706126452929034
Bouznika,0.002575585811532035
Jerada,0.0023790816901161057
Aourir,0.001205862676357064
Zaïo,6.842491101276855e-05
Aguelmous,4.425940388898044e-05
El Hajeb,1.9480908049775265e-05
Mnasra,2.718000765735658e-06
Mediouna,1.8184452593815227e-06
Zeghanghane,1.1031818277293813e-06
Imzouren,7.542446103542088e-07
Boujad,7.046689382693431e-07
Loudaya,6.265104353049236e-07
Oulad Zemam,4.880632390504724e-07
Qasbat Tadla,2.6675925148401815e-07
Al Aaroui,1.5506566187022564e-07
Bou Ahmed,1.5186859695052225e-07
Ad Darwa,1.205449522542448e-07
Tit Mellil,7.740605001000997e-08
Arbaoua,6.401681338625045e-08
Semara,4.9517564994384096e-08
Beni Yakhlef,3.369772255100354e-08
Douar Oulad Hssine,2.0535634110951117e-08
Bahharet Oulad Ayyad,1.2005828632086488e-08
Mechraa Bel Ksiri,5.900854521499041e-09
Mograne,3.97332946959627e-09
Dar Ould Zidouh,3.146015269421121e-09
Asilah,3.011022099008716e-09
Ain El Aouda,1.878464098730929e-09
Demnat,1.48531967963729e-10
Lalla Mimouna,1.4214108252908587e-10
Fritissa,1.3747337247475783e-10
Arfoud,1.001677747299607e-10
Tameslouht,5.95200036471007e-11
Bou Arfa,4.748171727568473e-11
Sidi Smai’il,3.91736969176439e-11
Taza,3.786656144361551e-11
Souk et Tnine Jorf el Mellah,3.5867619202879555e-11
Mehdya,3.323837878387674e-11
Oulad Hammou,2.4265145495279645e-11
Douar Oulad Aj-jabri,2.382215446821843e-11
Aïn Taoujdat,1.8546823096101602e-11
Dar Bel Hamri,1.4901253870428508e-11
Chichaoua,9.301298783329554e-12
Tahla,7.407463345789484e-12
Bellaa,7.056089728460266e-12
Oulad Yaïch,4.926945909775556e-12
Ksebia,2.541392238606202e-12
Tamorot,1.5635831969451452e-12
Moulay Bousselham,1.2592413608806174e-12
Azrou,8.661245072034577e-13
Sabaa Aiyoun,7.588260454921625e-13
Bourdoud,7.130476179244795e-13
Aït Faska,6.854989404218145e-13
Boureït,4.1240200395581855e-13
Lamzoudia,3.0729007269079914e-13
Oulad Said,2.965757513945728e-13
Missour,2.690499596604555e-13
Ain Aicha,2.1053924095957135e-13
Midalt,2.0836348479791878e-13
Zawyat ech Cheïkh,2.0179819711266057e-13
Bouknadel,1.6624688965712047e-13
El Ghiate,1.452740007428807e-13
Safsaf,1.2811860858312233e-13
Sidi Bennour,9.948643871133698e-14
Ouaoula,8.516232173652479e-14
Douar Olad. Salem,8.336276965590355e-14
Oulad Tayeb,6.449346454134167e-14
M’diq,5.545839564237681e-14
Echemmaia Est,4.2865468248312505e-14
Oulad Barhil,4.197801050216383e-14
Douar ’Ayn Dfali,3.931790796025953e-14
Beni Enzar,3.379163425217381e-14
Setti Fatma,3.3656223028713486e-14
Skoura,3.038258663474944e-14
Al Hoceïma,2.8081935308386662e-14
Douar Ouled Ayad,2.1939109757649455e-14
Zawyat an Nwaçer,2.1464610049864773e-14
Khenichet-sur Ouerrha,1.8856937944103342e-14
Ayt Mohamed,1.8576854219591654e-14
Benslimane,1.6594750371018457e-14
Gueznaia,1.632932276466547e-14
Oulad Hassoune,1.3773032940648359e-14
Bni Frassen,1.294590127131213e-14
