As Salamīyah,10.0
Jaramānā,0.016973138367288462
Al Ḩajar al Aswad,0.0001808008717952398
Dūmā,4.992663154726869e-08
Ma‘arrat an Nu‘mān,9.719878302361296e-11
Ţarţūs,5.6157698914559125e-11
Dārayyā,3.610533612836334e-13
Ath Thawrah,3.4754687975424327e-13
Manbij,3.3873699896539863e-15
Jablah,4.597750921472809e-16
Dar‘ā,6.629410457957375e-17
As Suwaydā’,5.500759293857404e-19
Nawá,3.0848593719724113e-19
At Tall,2.8874239559428973e-19
Ar Rastan,8.214832858764548e-20
Khān Shaykhūn,6.0238622792737546e-21
Idlib,2.761881213009771e-21
An Nabk,1.3356648675588016e-21
Ālbū Kamāl,1.0829879283006518e-21
Tadmur,8.023021121549011e-22
Al Mayādīn,2.9370572259077634e-22
‘Āmūdā,1.7061282919253793e-22
Yabrūd,1.4295046661644562e-22
Al Quşayr,1.2377888009718039e-22
Ḩarastā,9.055735446145171e-23
Tallbīsah,8.639887635028972e-23
Jisr ash Shughūr,4.8066314648163173e-23
Bāniyās,3.101077049139882e-23
Tādif,1.8808844813156796e-23
Jayrūd,9.612221810713442e-24
Sarāqib,9.605477392987189e-24
Al Mālikīyah,7.01780894934744e-24
Hajīn,4.871250541061415e-24
Al Qaryatayn,4.684708131237834e-24
Ma‘arratmişrīn,4.189822447250891e-24
Maşyāf,3.685834688178676e-24
Al Qunayţirah,3.579925841936527e-24
Tallkalakh,2.1251810533465953e-24
Dayr Ḩāfir,2.1003521403715552e-24
Tall Salḩab,1.838702881449386e-24
Al Qāmishlī,1.7849311223151673e-24
Qadsayyā,1.1628905827679373e-24
Ţafas,7.649568853181437e-25
Şāfītā,7.595144873066579e-25
Jāsim,6.447410031250751e-25
I‘zāz,6.158674279839053e-25
Al Ḩasakah,5.19784134135284e-25
Ra’s al ‘Ayn,3.181257389889938e-25
Şūrān,2.9566121912468384e-25
Tall Rif‘at,1.64375151855864e-25
Az Zabadānī,1.3078264962798765e-25
Aş Şanamayn,1.3015346191103666e-25
Şaydnāyā,9.620515919681244e-26
Salqīn,6.368250253980696e-26
Qaţanā,5.030121388217247e-26
Ḩārim,3.9552727948807025e-26
Binnish,3.865783087048814e-26
‘Adrā,2.752480691103706e-26
Buşrá ash Shām,2.1928450279199375e-26
Izra,1.9161479885882545e-26
Tall ‘Aran,1.3467762592248753e-26
Muḩradah,1.2844507825640594e-26
As Suqaylibīyah,1.2021419291483391e-26
Kafr Zaytā,1.1265008046061265e-26
Shahbā,1.0439107232943825e-26
Al Laţāminah,9.278011554035018e-27
As Sukhnah,9.066180002824724e-27
Kafr Nubl,7.607369714067943e-27
Şalkhad,6.813023935559016e-27
Tall Abyaḑ,6.5312781521827e-27
Sarmīn,6.08384683818268e-27
Jindayris,4.944315663322501e-27
Buşrá al Ḩarīr,4.555517535401678e-27
Ad Duraykīsh,4.479809699687022e-27
Al Muzayrīb,3.8870947361819076e-27
‘Anadān,3.285517012842617e-27
Ghabāghib,3.198434983893912e-27
Jarābulus,3.031512872960142e-27
Al Atārib,2.458942962255082e-27
Al Musayfirah,2.3543394569097128e-27
Armanāz,2.265195352890921e-27
Taftanāz,1.5280341335399984e-27
Tayr Ma‘lah,1.2776011081942373e-27
Umm Walad,1.2279451581613258e-27
Al Mazra‘ah,1.2279451581613258e-27
Al Kafr,1.2042824461296112e-27
Tall Tamr,1.1596577635432586e-27
Killī,1.1277700258828364e-27
‘Ayn ‘Īsá,1.0279446751906733e-27
Saḩam al Jawlān,9.934186907046271e-28
Iḩsim,8.542283982452595e-28
‘Assāl al Ward,8.436921353837283e-28
Al Quţaylibīyah,8.005114415505447e-28
Ra’s al Khashūfah,7.891613082911363e-28
Al Mulayḩah al Gharbīyah,7.816339664872669e-28
Ḩisyā’,7.784786587470628e-28
Dayr al Bukht,7.695844131843918e-28
Darkūsh,7.556412426906287e-28
Shaykh al Ḩadīd,7.1934643218327785e-28
Ar Raqqah,5.803431208360888e-33
Ḩamāh,1.9263613615031862e-33
Latakia,9.591457921565687e-39
Homs,1.4130142053394749e-39
Damascus,6.451892603047759e-41
Aleppo,4.940879561455618e-41
Dayr az Zawr,4.931885433620297e-41
