Ban Suan,10.0
Songkhla,7.977008299899808
Rayong,2.061291321643103
Saraburi,1.8560191094844127
Yala,1.316473389000191
Ko Samui,1.3160746401082744
Trang,0.8402362105561817
Samut Sakhon,0.6041563735908839
Chiang Rai,0.44082156312138443
Ban Bang Kaeo,0.39728314851588764
Phitsanulok,0.3702908203099736
Hua Hin,0.369413374341389
Ban Rangsit,0.25960535237389487
Khlong Luang,0.044633640396236206
Lampang,0.022471196902930365
Prachuap Khiri Khan,0.01184465364412428
Sakon Nakhon,0.009249802804186835
Phra Nakhon Si Ayutthaya,0.006146040063316706
Maha Sarakham,0.005831561013914176
Phuket,0.005061299321479992
Muban Saeng Bua Thong,0.0033091727676592287
Nakhon Pathom,0.002497158854859812
Samut Prakan,0.0022765059894380014
Ubon Ratchathani,0.002159308878871312
Ban Talat Rangsit,0.0018100304721605951
Bang Bua Thong,0.0011383258790622214
Nong Khai,0.00038418748242981303
Ban Plai Bua Phatthana,0.0001234968259960301
Ban Bang Mae Nang,0.00010442467992497606
Ban Pet,4.127334301727091e-05
Pattani,3.9964567863566505e-05
Singhanakhon,3.771885279697398e-05
Nakhon Sawan,3.163190356341527e-05
Si Sa Ket,1.489135222692973e-05
Bang Kruai,1.4772643442916807e-05
Su-ngai Kolok,9.660737492432114e-06
Narathiwat,8.4762013267039e-06
Ban Na Pa,6.716694349327258e-06
Surin,3.6533557478851665e-06
Chachoengsao,3.3674266668134486e-06
Ban Bang Khu Lat,2.2206117553030374e-06
Chaiyaphum,8.796968152941312e-07
Ratchaburi,6.579657847704998e-07
Ban Mueang Na Tai,6.009814495897991e-07
Pak Chong,4.885311757691438e-07
Cha-am,4.5269253413863186e-07
Roi Et,3.791073272629291e-07
Phatthalung,3.471984405560391e-07
Kalasin,2.590976160767792e-07
Phra Phutthabat,2.4506639625390407e-07
Uttaradit,2.0281936648198903e-07
Chumphon,1.662397925256306e-07
Ban Pak Phun,1.577843674194086e-07
Mukdahan,1.3638945501680948e-07
Ban Ang Sila,1.33240134602756e-07
Chum Phae,6.695842521218236e-08
Mae Sot,6.488972769246237e-08
Ban Chang,5.0269091600204024e-08
Ban Sai Ma Tai,4.511138443561683e-08
Thung Song,4.0177413980540546e-08
Krabi,4.015882782651161e-08
Samrong,3.8044240132303704e-08
Chon Buri,3.1334276416339514e-08
Kamphaeng Phet,2.189647911428327e-08
Ban Phai,1.940948079221186e-08
Buri Ram,1.6940631987560118e-08
Samut Songkhram,1.604547824577517e-08
Tha Yang,1.5644480752286547e-08
Ban Bang Khu Wat,1.5034982287801797e-08
Warin Chamrap,1.3769628894175189e-08
Ban Mangkon,1.257677343674173e-08
Ban Phonla Krang,7.531945886524229e-09
Betong,7.004061298886614e-09
Nakhon Phanom,6.4027894826565606e-09
Suphan Buri,5.676592565416766e-09
Kathu,5.465770900741597e-09
Amnat Charoen,4.962238402224623e-09
Ban Bang Phun,2.8996527114947856e-09
Takhli,2.8229172230140952e-09
Lop Buri,2.3785126649988784e-09
Nakhon Si Thammarat,2.14123285120125e-09
Chanthaburi,2.0631552255287503e-09
Bang Sao Thong,1.8896764649003246e-09
Satun,1.875177268718599e-09
Ban Phru,1.8012926468881433e-09
Sattahip,1.7259646622697325e-09
Si Racha,1.7127526678302052e-09
Sai Mai,1.6524553414918697e-09
Phetchaburi,1.5963730129728316e-09
Ban Bang Rin,1.535691123233105e-09
Ban Bang Krang,1.4506125871561522e-09
Wichian Buri,1.4413947133933739e-09
Loei,1.0918314443258764e-09
Phichit,1.0735653940325336e-09
Ban Piang Luang,1.036220702909174e-09
Phetchabun,9.960069938480533e-10
Krathum Baen,9.091748201133788e-10
Nong Bua Lamphu,7.766576228372038e-10
Nang Rong,7.653768657982144e-10
Wang Nam Yen,7.064167378053969e-10
Sadao,6.458969435192034e-10
Mae Sai,5.500194931160271e-10
Na Klang,5.298968775167801e-10
Nan,5.268353060893244e-10
Pak Phanang,4.910751715147015e-10
Yasothon,4.888489471573992e-10
Ban Tha Pha,4.4957346133685977e-10
Ban Tha Kham,4.019660041555524e-10
Ban Na San,3.7982296722538557e-10
Kantharalak,3.212666439894363e-10
Ban Bueng,3.1528811230188065e-10
Ban Na Yang,2.695179749826545e-10
Tak Bai,2.6755302238837916e-10
Klaeng,2.5214872411598387e-10
Ban Mae Hia Nai,2.294255797664992e-10
Tha Bo,2.0787458295088793e-10
Ban Thum,2.0636952589829244e-10
Ban Mai,2.0249210315134505e-10
Sikhio,1.9876959597690863e-10
Sa Kaeo,1.729980141577704e-10
San Kamphaeng,1.72512177146941e-10
Sing Buri,1.7154472942529048e-10
Prachin Buri,1.664559934256028e-10
Sam Phran,1.5629930214932532e-10
Ban Song,1.5430846449617387e-10
Tak,1.534456837671058e-10
Phayao,1.4754323345602218e-10
Ban Pong,1.3790630512891729e-10
Rattaphum,1.356673519602027e-10
Sawankhalok,1.2989475650607828e-10
Ban Phe,1.2824840724541905e-10
Ban Rawai,1.218743869189754e-10
Pran Buri,1.1541169397031244e-10
Ban Thung Tam Sao,1.1309672722622154e-10
Phrae,1.0732387822878247e-10
Ban Cho Ho,1.0149082944786925e-10
Ban Lam Narai,9.922613413005405e-11
Aranyaprathet,8.957116850996699e-11
Nakhon Nayok,8.900735274402671e-11
Bang Phae,8.675404266734655e-11
Ranong,8.658314689921834e-11
Chai Prakan,8.539659859785161e-11
Ban Dung,7.96467468213806e-11
Lam Luk Ka,7.865043947544404e-11
Si Satchanalai,7.299276493769886e-11
